formula,probability,confidence
VMoSe3,0.9033832249876448,High
MnS2I,0.9028191377879726,High
MnPt2F4,0.902550589718665,High
FeMoO3,0.9024925029630101,High
CrCoI4,0.9022657596644914,High
FeBrF2,0.9022120708526805,High
MnWS3,0.9021812434894598,High
Ti(FeTe2)2,0.9018848689298695,High
NbCrO3,0.901724760700482,High
CrMoCl3,0.9009919590379174,High
FeSCl2,0.9006727874744248,High
FePtBr3,0.9004758644751697,High
FeCuO3,0.9003438094793986,High
HfMnO3,0.9001612099025671,High
CoNiSe3,0.9000801765209454,High
Co(MoO2)2,0.9000022729183541,High
CoMoI3,0.8998897295557448,Medium
MnS2O,0.8998789685343668,Medium
CrNiI4,0.8997563608507703,Medium
FeBr2F,0.8995635925062642,Medium
Hf2CrI4,0.8991189496114361,Medium
CrPdF3,0.8989554670107048,Medium
TaVTe3,0.8987819679479979,Medium
TiCo2F4,0.898296332723789,Medium
TiMnO3,0.8982897332437544,Medium
FeCl2F,0.8980311485904322,Medium
Co(MoBr2)2,0.8977548341350399,Medium
Mn(Te2Mo)2,0.8974651648574564,Medium
TiFeBr3,0.896960218449107,Medium
FeMo2F4,0.8969473056135369,Medium
Zr2CrI4,0.8963929868023557,Medium
Mn(MoS2)2,0.8962831754543198,Medium
MnTeF2,0.8961657751742813,Medium
Cr(PtBr2)2,0.8957183156759522,Medium
VPdCl3,0.8950430322552014,Medium
CrTe2Br,0.8947655367846505,Medium
TaCrBr3,0.8947357878870582,Medium
FePd2F4,0.8946689192707973,Medium
TaVCl3,0.8939230718913868,Medium
TiCrTe3,0.8938294909148181,Medium
Cr(PtI2)2,0.8935995442032729,Medium
Nb2CoO4,0.8935106548230201,Medium
MnNb2F4,0.8933316050793931,Medium
CrTe2Cl,0.8931547692296374,Medium
TaCrF3,0.8928946165891957,Medium
CoRuO3,0.8926106440246874,Medium
MnTeO2,0.8924881792815561,Medium
TaVF3,0.8924204422060745,Medium
FePdBr3,0.8921439671279077,Medium
CoMoF3,0.8919275121209337,Medium
CoBr2Cl,0.8918473230226251,Medium
TiFeSe3,0.8918465968477016,Medium
MnTe3W,0.891270964967703,Medium
TiCoCl3,0.8911723077168648,Medium
MnSe2O,0.8909765022505444,Medium
Zr2CrCl4,0.8908320803318881,Medium
FePtO3,0.8902331396253876,Medium
VTe3W,0.890194952856021,Medium
VMoF3,0.8900967798028273,Medium
FeClF2,0.8900283259822067,Medium
FePdS3,0.8897873033113426,Medium
VRuO3,0.8896569219231819,Medium
CoMo2F4,0.8895194954721795,Medium
Co(RuCl2)2,0.889483533112014,Medium
MnS3,0.8893625980914898,Medium
Fe(WF2)2,0.8887164547298344,Medium
MnSeF2,0.8883202350011864,Medium
Cr(MoI2)2,0.8882267376685478,Medium
TaVSe3,0.8879929683222467,Medium
Ti(VCl2)2,0.8875293192723056,Medium
TaCoI3,0.8873419464538056,Medium
CrMoF3,0.8864411262418848,Medium
CrSe2Br,0.8863609207873644,Medium
Co(WF2)2,0.886334394679653,Medium
Nb2FeI4,0.8855228371975727,Medium
ZrCrF3,0.8849900788919478,Medium
VCoS3,0.884827078317178,Medium
NiBrCl2,0.8848093420452969,Medium
Cr(PtO2)2,0.884548625689428,Medium
VMoI3,0.8844777651041993,Medium
FeSBr2,0.8839389909909994,Medium
NiRuO3,0.8837389900567957,Medium
FeRu2F4,0.8836693115262986,Medium
Nb2VI4,0.883407503524812,Medium
VClF2,0.8832791640025754,Medium
Mn(PdI2)2,0.8826212567169381,Medium
Ta2FeO4,0.8825725241473403,Medium
MnSeO2,0.882399403454545,Medium
FeWS3,0.8822460079788144,Medium
Nb2CrTe4,0.8821483076013064,Medium
Ti(VTe2)2,0.8818673731838068,Medium
TiFeO3,0.8816192698604672,Medium
NbVTe3,0.8812572883822766,Medium
MnTe3Pt,0.8809656095528638,Medium
CoRuF3,0.8808888558778013,Medium
V2CuCl4,0.8808531553775257,Medium
Hf2VTe4,0.8807120273328981,Medium
Ti(VI2)2,0.8804248384207497,Medium
Ti(CoBr2)2,0.8800273334637848,Medium
MnTe2I,0.8799125292356624,Medium
FePdI3,0.8798801867923801,Medium
FePtF3,0.8796070825010037,Medium
CrWF3,0.8791797671158685,Medium
Cr(RuBr2)2,0.878759373163389,Medium
FeWI3,0.8785844606671929,Medium
VBrF2,0.8784928498497793,Medium
Fe2CuSe4,0.8784834784032958,Medium
CoCuF3,0.8783568040001736,Medium
Nb2FeS4,0.8782553649021234,Medium
Nb2VF4,0.877173622226756,Medium
Mn(NbI2)2,0.8765788954425725,Medium
Nb2CoF4,0.87624490127581,Medium
MnTe2O,0.875399902516778,Medium
TiCoI3,0.8752991776431608,Medium
Hf2CrF4,0.8751671730764767,Medium
FeRuCl3,0.8751606831784956,Medium
FeClO2,0.8750683516986975,Medium
TiFeI3,0.8744375266383594,Medium
ZrMnBr3,0.8741795020600764,Medium
Nb2CrS4,0.8741483275865884,Medium
VRuF3,0.8740233894764645,Medium
Ni(WF2)2,0.8735291620725336,Medium
VNiI4,0.8735098690320039,Medium
Zr2CrO4,0.8727517985314792,Medium
